year,t,cheese_per_capita,bedsheet_deaths,cheese_hat,deaths_hat,resid_cheese,resid_deaths,std_resid_cheese,std_resid_deaths
2000,1,29.8,327,29.758181818181818,381.0545454545454,0.041818181818182865,-54.054545454545405,0.12608270305625952,-1.1739531637306981
2001,2,30.1,456,30.14969696969697,427.17575757575753,-0.04969696969696713,28.82424242424247,-0.14983741522627028,0.6260030549056188
2002,3,30.5,509,30.541212121212123,473.29696969696965,-0.04121212121212281,35.703030303030346,-0.12425541750472335,0.7753961304560553
2003,4,30.6,497,30.932727272727274,519.4181818181818,-0.3327272727272721,-22.41818181818178,-1.0031797677954386,-0.4868766400538007
2004,5,31.3,596,31.324242424242424,565.5393939393939,-0.02424242424242351,30.460606060606096,-0.07309142206159737,0.6615414957854581
2005,6,31.7,573,31.715757575757575,611.6606060606061,-0.015757575757575637,-38.66060606060614,-0.047509424340039734,-0.8396285717499883
2006,7,32.6,661,32.10727272727273,657.7818181818182,0.49272727272727224,3.218181818181847,1.4855831534019872,0.06989226706368504
2007,8,33.1,741,32.49878787878788,703.9030303030304,0.6012121212121215,37.09696969696961,1.812667267127643,0.8056696171314712
2008,9,32.7,809,32.89030303030303,750.0242424242424,-0.19030303030302775,58.9757575757576,-0.5737676631835417,1.2808317340804392
2009,10,32.8,717,33.28181818181818,796.1454545454546,-0.48181818181818414,-79.14545454545464,-1.4526920134742785,-1.7188759238882407
